Age,Date,Census21 population,ONS population,NIMS population,First doses by midpoint,Second doses completed 21 days before midpoint,Third dose completed 21 days before midpoint
18-29 ,wk 32-35,"8,555,760","8,402,976","9,871,969","5,799,692","1,975,336",795
18-29 ,wk 33-36,"8,555,760","8,402,976","9,871,969","5,926,673","2,280,119",909
18-29 ,wk 34-37,"8,555,760","8,402,976","9,871,969","6,022,537","2,829,159","1,043"
18-29 ,wk 35-38,"8,555,760","8,402,976","9,871,969","6,090,327","3,487,630","1,220"
18-29 ,wk 36-39,"8,555,760","8,402,976","9,871,969","6,145,573","3,967,332","1,384"
18-29 ,wk 37-40,"8,555,760","8,402,976","9,871,969","6,191,001","4,377,922","1,581"
18-29 ,wk 38-41,"8,555,760","8,402,976","9,871,969","6,236,252","4,670,244","2,433"
18-29 ,wk 39-42,"8,555,760","8,402,976","9,871,969","6,275,770","4,839,928","11,489"
18-29 ,wk 40-43,"8,555,760","8,402,976","9,871,969","6,317,514","4,956,190","38,457"
18-29 ,wk 41-44,"8,555,760","8,402,976","9,871,969","6,352,994","5,058,422","76,293"
18-29 ,wk 42-45,"8,555,760","8,402,976","9,871,969","6,385,921","5,153,367","118,111"
18-29 ,wk 43-46,"8,555,760","8,402,976","9,871,969","6,417,694","5,235,480","160,511"
18-29 ,wk 44-47,"8,555,760","8,402,976","9,871,969","6,448,025","5,301,242","200,294"
18-29 ,wk 45-48,"8,555,760","8,402,976","9,871,969","6,485,315","5,372,802","251,641"
18-29 ,wk 46-49,"8,555,760","8,402,976","9,871,969","6,523,744","5,433,447","306,967"
18-29 ,wk 47-50,"8,555,760","8,402,976","9,871,969","6,592,339","5,504,488","370,090"
18-29 ,wk 48-51,"8,555,760","8,402,976","9,871,969","6,640,251","5,587,454","454,150"
18-29 ,wk 49-52,"8,555,760","8,402,976","9,871,969","6,682,838","5,682,977","690,641"
18-29 ,wk 50-1,"8,555,760","8,402,976","9,871,969","6,727,052","5,810,427","1,943,003"
18-29 ,wk 51-2,"8,555,760","8,402,976","9,871,969","6,765,375","5,857,567","2,327,766"
18-29 ,wk 52-3,"8,555,760","8,402,976","9,871,969","6,796,896","5,911,063","2,651,436"
18-29 ,wk 1-4,"8,555,760","8,402,976","9,871,969","6,819,557","5,956,249","2,865,059"
18-29 ,wk 2-5,"8,555,760","8,402,976","9,871,969","6,836,273","5,996,346","2,998,750"
18-29 ,wk 3-6,"8,555,760","8,402,976","9,871,969","6,850,069","6,031,794","3,102,027"
18-29 ,wk 4-7,"8,555,760","8,402,976","9,871,969","6,863,277","6,061,303","3,173,787"
18-29 ,wk 5-8,"8,555,760","8,402,976","9,871,969","6,873,988","6,090,317","3,244,586"
18-29 ,wk 6-9,"8,555,760","8,402,976","9,871,969","6,883,946","6,114,331","3,299,867"
18-29 ,wk 7-10,"8,555,760","8,402,976","9,871,969","6,892,586","6,137,395","3,349,636"
18-29 ,wk 8-11,"8,555,760","8,402,976","9,871,969","6,899,601","6,158,851","3,392,066"
30-39 ,wk 32-35,"7,748,000","7,603,773","9,608,381","6,270,062","3,871,972",1519
30-39 ,wk 33-36,"7,748,000","7,603,773","9,608,381","6,302,822","4,366,475",1690
30-39 ,wk 34-37,"7,748,000","7,603,773","9,608,381","6,335,001","4,776,990",1871
30-39 ,wk 35-38,"7,748,000","7,603,773","9,608,381","6,365,093","5,100,049",2039
30-39 ,wk 36-39,"7,748,000","7,603,773","9,608,381","6,393,809","5,331,844",2202
30-39 ,wk 37-40,"7,748,000","7,603,773","9,608,381","6,417,466","5,515,056",2389
30-39 ,wk 38-41,"7,748,000","7,603,773","9,608,381","6,440,679","5,641,548",4241
30-39 ,wk 39-42,"7,748,000","7,603,773","9,608,381","6,462,822","5,721,925",23799
30-39 ,wk 40-43,"7,748,000","7,603,773","9,608,381","6,485,688","5,782,529",76103
30-39 ,wk 41-44,"7,748,000","7,603,773","9,608,381","6,504,323","5,835,700",145599
30-39 ,wk 42-45,"7,748,000","7,603,773","9,608,381","6,522,836","5,881,152",217269
30-39 ,wk 43-46,"7,748,000","7,603,773","9,608,381","6,542,113","5,920,621",285320
30-39 ,wk 44-47,"7,748,000","7,603,773","9,608,381","6,560,474","5,957,067",352428
30-39 ,wk 45-48,"7,748,000","7,603,773","9,608,381","6,581,385","5,995,652",442147
30-39 ,wk 46-49,"7,748,000","7,603,773","9,608,381","6,602,142","6,028,306",541785
30-39 ,wk 47-50,"7,748,000","7,603,773","9,608,381","6,638,581","6,060,103",653861
30-39 ,wk 48-51,"7,748,000","7,603,773","9,608,381","6,663,016","6,094,558",805290
30-39 ,wk 49-52,"7,748,000","7,603,773","9,608,381","6,686,398","6,135,482",1329853
30-39 ,wk 50-1,"7,748,000","7,603,773","9,608,381","6,712,577","6,187,666",2904065
30-39 ,wk 51-2,"7,748,000","7,603,773","9,608,381","6,733,550","6,208,747","3,287,321"
30-39 ,wk 52-3,"7,748,000","7,603,773","9,608,381","6,749,611","6,236,789","3,622,504"
30-39 ,wk 1-4,"7,748,000","7,603,773","9,608,381","6,760,492","6,262,203","3,832,055"
30-39 ,wk 2-5,"7,748,000","7,603,773","9,608,381","6,768,327","6,283,860","3,936,117"
30-39 ,wk 3-6,"7,748,000","7,603,773","9,608,381","6,774,580","6,303,162","4,012,787"
30-39 ,wk 4-7,"7,748,000","7,603,773","9,608,381","6,780,228","6,318,946","4,065,722"
30-39 ,wk 5-8,"7,748,000","7,603,773","9,608,381","6,784,930","6,334,328","4,118,635"
30-39 ,wk 6-9,"7,748,000","7,603,773","9,608,381","6,789,155","6,346,689","4,156,284"
30-39 ,wk 7-10,"7,748,000","7,603,773","9,608,381","6,792,690","6,359,262","4,187,987"
30-39 ,wk 8-11,"7,748,000","7,603,773","9,608,381","6,795,532","6,370,813","4,213,450"
40-49 ,wk 32-35,"7,183,000","7,083,901","8,321,176","6,353,511","5,528,293","1,804"
40-49 ,wk 33-36,"7,183,000","7,083,901","8,321,176","6,366,987","5,700,207","1,930"
40-49 ,wk 34-37,"7,183,000","7,083,901","8,321,176","6,379,943","5,804,087","2,072"
40-49 ,wk 35-38,"7,183,000","7,083,901","8,321,176","6,392,514","5,878,072","2,231"
40-49 ,wk 36-39,"7,183,000","7,083,901","8,321,176","6,405,218","5,931,914","2,327"
40-49 ,wk 37-40,"7,183,000","7,083,901","8,321,176","6,415,400","5,978,296","2,506"
40-49 ,wk 38-41,"7,183,000","7,083,901","8,321,176","6,425,256","6,018,187","5,327"
40-49 ,wk 39-42,"7,183,000","7,083,901","8,321,176","6,434,358","6,047,894","35,355"
40-49 ,wk 40-43,"7,183,000","7,083,901","8,321,176","6,444,025","6,071,181","109,339"
40-49 ,wk 41-44,"7,183,000","7,083,901","8,321,176","6,452,056","6,092,566","203,835"
40-49 ,wk 42-45,"7,183,000","7,083,901","8,321,176","6,459,897","6,111,822","298,863"
40-49 ,wk 43-46,"7,183,000","7,083,901","8,321,176","6,468,241","6,129,991","391,265"
40-49 ,wk 44-47,"7,183,000","7,083,901","8,321,176","6,476,858","6,146,544","489,745"
